method,metric,value
DSDV,throughput_mbps,1.6439999999999995
DSDV,throughput_mbps,1.8083999999999996
DSDV,throughput_mbps,1.9727999999999997
DSDV,throughput_mbps,1.1508
DSDV,throughput_mbps,1.8083999999999996
DSDV,throughput_mbps,0.8219999999999997
DSDV,throughput_mbps,6.740399999999999
DSDV,throughput_mbps,2.3016
DSDV,throughput_mbps,6.576
DSDV,throughput_mbps,0.8219999999999997
DSDV,throughput_mbps,6.740399999999999
DSDV,throughput_mbps,6.247199999999999
DSDV,throughput_mbps,2.3016
DSDV,throughput_mbps,0.8219999999999997
DSDV,throughput_mbps,2.3016
DSDV,throughput_mbps,2.3016
DSDV,throughput_mbps,5.753999999999999
DSDV,throughput_mbps,1.8083999999999996
DSDV,throughput_mbps,7.233599999999999
DSDV,throughput_mbps,1.3152000000000001
DSDV,throughput_mbps,2.3016
DSDV,throughput_mbps,1.1508
DSDV,throughput_mbps,0.8219999999999997
DSDV,throughput_mbps,2.3016
DSDV,throughput_mbps,6.082799999999999
DSDV,throughput_mbps,1.9727999999999997
DSDV,throughput_mbps,1.8083999999999996
DSDV,throughput_mbps,5.918399999999999
DSDV,throughput_mbps,6.082799999999999
DSDV,throughput_mbps,6.247199999999999
DSDV,throughput_mbps,7.726799999999998
DSDV,throughput_mbps,5.753999999999999
DSDV,throughput_mbps,1.1508
DSDV,throughput_mbps,6.247199999999999
DSDV,throughput_mbps,0.8219999999999997
DSDV,throughput_mbps,0.8219999999999997
DSDV,throughput_mbps,7.233599999999999
DSDV,throughput_mbps,1.8083999999999996
DSDV,throughput_mbps,1.3152000000000001
DSDV,throughput_mbps,1.3152000000000001
DSDV,throughput_mbps,1.1508
DSDV,throughput_mbps,6.411599999999999
DSDV,throughput_mbps,1.1508
DSDV,throughput_mbps,2.3016
DSDV,throughput_mbps,1.3152000000000001
DSDV,throughput_mbps,7.726799999999998
DSDV,throughput_mbps,0.8219999999999997
Proposed,delay_ms,5.3647860006983805
Proposed,delay_ms,7.505717317892457
Proposed,delay_ms,6.264928066442737
Proposed,delay_ms,2.2235845335610196
Proposed,delay_ms,2.837600667807263
Proposed,delay_ms,2.2083942441915543
Proposed,delay_ms,1.5537209229370703
Proposed,delay_ms,2.1558064547271525
Proposed,delay_ms,3.1028242347918806
Proposed,delay_ms,3.1114238157918397
Proposed,delay_ms,1.854394199714883
Proposed,delay_ms,5.797790047007813
Proposed,delay_ms,1.547462556196289
Proposed,delay_ms,2.154447503794346
Proposed,delay_ms,1.9189350272330985
Proposed,delay_ms,1.7291919777012792
Proposed,delay_ms,3.1062399494498014
Proposed,delay_ms,1.844413240131249
Proposed,delay_ms,1.7596590033897896
Proposed,delay_ms,2.013350311213723
Proposed,delay_ms,8.203204889599574
Proposed,delay_ms,1.7437624738748188
Proposed,delay_ms,3.501489521503456
Proposed,delay_ms,8.208187018283091
Proposed,delay_ms,2.5617593852418556
Proposed,delay_ms,2.22213862256026
Proposed,delay_ms,1.646416417266583
Proposed,delay_ms,1.7993387031935768
Proposed,delay_ms,3.1062399494498014
Proposed,delay_ms,3.1999319606826995
Proposed,delay_ms,2.0475145041027774
Proposed,delay_ms,6.901990151253882
Proposed,delay_ms,2.04631219165
Proposed,delay_ms,3.4636863339315513
Proposed,delay_ms,1.7989179325899316
Proposed,delay_ms,3.382253240525347
Proposed,delay_ms,1.571973602253113
Proposed,delay_ms,1.882921225239257
Proposed,delay_ms,1.8318390282960129
Proposed,delay_ms,6.642672315861183
Proposed,delay_ms,3.3525267414691844
Proposed,delay_ms,6.605173041834316
Proposed,delay_ms,1.7745389197400347
Proposed,delay_ms,1.7290959837716742
Proposed,delay_ms,1.8794912292258603
Proposed,delay_ms,2.0512975145321413
Proposed,delay_ms,2.046080144698585
Proposed,delay_ms,2.138616257804409
Proposed,delay_ms,3.1802161063557906
Proposed,delay_ms,1.666428338029776
Proposed,delay_ms,2.034869263626134
Proposed,delay_ms,6.765896820600454
Proposed,delay_ms,1.781377484837898
Proposed,delay_ms,3.2191902893445246
Proposed,delay_ms,5.564890774742558
Proposed,delay_ms,7.118184147202837
Proposed,delay_ms,7.996647378605444
Proposed,delay_ms,1.7307700468967222
Proposed,delay_ms,3.5835818303889524
Proposed,delay_ms,1.9360123082159055
Proposed,delay_ms,2.238078208576243
Proposed,delay_ms,3.236997891803446
Proposed,delay_ms,3.483040457716333
Proposed,delay_ms,3.2555364003205947
Proposed,delay_ms,1.925351431012488
Proposed,delay_ms,3.482540957753156
Proposed,delay_ms,3.1001357018323374
Proposed,delay_ms,5.318217388968685
Proposed,delay_ms,3.419457481830123
Proposed,delay_ms,2.1309552913197725
Proposed,delay_ms,2.619527578787057
Proposed,delay_ms,0.5100613932853229
Proposed,delay_ms,1.6629106272352547
Proposed,delay_ms,5.199268161434492
Proposed,delay_ms,8.705732270735995
Proposed,delay_ms,1.879805873427064
Proposed,delay_ms,6.551951847467712
